,ra,dec_x,Nobs,filter,Name,coord,Type,dec_y
0,183.954,18.539260000000006,33,zg,10016,121549.00 +183221.4,RR,18.53927777777778
1,192.503,31.139970000000023,38,zg,10019,125000.62 +310824.0,RRAB,31.14
2,199.532,28.896810000000023,38,zg,10026,131807.71 +285348.6,RRAB,28.896833333333333
3,184.695,23.64535999999998,33,zg,10041,121846.69 +233843.1,M,23.645305555555556
4,188.368,22.477810000000023,35,zg,10050,123328.24 +222839.6,RRAB,22.477666666666664
5,190.678,21.871540000000024,35,zg,10054,124242.62 +215217.3,EW/KW,21.871472222222224
6,192.325,28.82423999999998,33,zg,10060,124917.99 +284926.9,RRAB,28.82413888888889
7,182.074,15.428930000000015,30,zg,10085,120817.68 +152543.4,RR,15.428722222222222
8,183.446,22.344850000000005,33,zg,10092,121347.11 +222041.5,RRAB,22.34486111111111
9,184.318,30.977649999999976,36,zg,10095,121716.29 +305839.2,RRAB,30.977555555555554
10,190.824,29.68741000000001,35,zg,10125,124317.71 +294114.3,RRAB,29.687305555555557
11,191.172,17.370159999999988,35,zg,10129,124441.26 +172212.2,RRC,17.370055555555556
12,200.14,22.448419999999974,38,zg,10152,132033.68 +222653.8,RRC,22.44827777777778
13,184.12,31.628779999999995,37,zg,10171,121628.89 +313743.9,E,31.62886111111111
14,190.298,14.892600000000028,28,zg,10184,124111.46 +145333.5,RRAB,14.892638888888888
15,359.676,41.48869999999997,47,zg,102,235842.16 +412919.7,RRAB,41.48880555555556
16,190.928,15.52708999999998,35,zg,10250,124342.77 +153137.5,EW,15.527083333333334
17,190.928,-13.853679999999999,14,zg,11142,124342.71 -135113.4,RRAB,-13.853722222222222
18,179.927,15.258410000000003,29,zg,10254,115942.55 +151530.1,RR(B),15.25836111111111
19,184.514,28.642369999999985,33,zg,10256,121803.35 +283832.5,RR(B),28.64236111111111
20,333.627,-10.929449999999985,32,zg,1083,221430.53 -105546.5,RRAB,-10.929583333333333
21,331.758,-20.70882999999998,25,zg,1090,220701.91 -204231.5,RRAB,-20.70875
22,335.405,-24.780079999999973,25,zg,1100,222137.20 -244648.0,EW,-24.779999999999998
23,336.717,-19.419569999999986,27,zg,1104,222652.12 -192510.6,EW,-19.419611111111113
24,235.796,36.89156999999997,40,zg,11078,154310.96 +365329.8,RRAB,36.89161111111111
25,241.5,29.831629999999997,40,zg,11090,160600.07 +294954.0,EW,29.831666666666667
26,242.493,36.997709999999984,142,zg,11094,160958.30 +365951.8,RRAB,36.99772222222222
27,244.612,27.55432999999999,39,zg,11101,161826.91 +273315.4,EW,27.554277777777777
28,244.643,27.470299999999984,40,zg,11102,161834.34 +272813.2,RRAB,27.470333333333333
29,237.463,29.524329999999974,36,zg,11111,154951.10 +293127.5,RR(B),29.524305555555554
30,173.456,-13.42386,17,zg,11162,113349.42 -132526.2,RR,-13.423944444444444
31,174.566,-13.314640000000011,17,zg,11194,113815.74 -131853.0,EW,-13.314722222222223
32,294.244,32.19937000000003,59,zg,11417,193658.54 +321158.3,RV,32.199527777777774
33,294.662,31.736720000000012,58,zg,11482,193838.99 +314412.7,M,31.73686111111111
34,299.616,38.224339999999984,61,zg,11586,195827.89 +381327.6,E,38.224333333333334
35,299.645,38.24313999999999,62,zg,11589,195834.79 +381435.0,E/DW,38.24305555555556
36,299.715,37.64725999999998,52,zg,11590,195851.52 +373849.2,CWB,37.647
37,299.977,38.778299999999994,62,zg,11593,195954.39 +384642.2,CWA,38.77838888888889
38,299.977,38.111000000000004,61,zg,11592,195954.47 +380639.0,LB,38.11083333333333
39,299.971,39.233299999999986,43,zg,11594,195952.96 +391359.8,UG,39.23327777777778
40,300.12,38.735879999999995,61,zg,11596,200028.89 +384409.2,M,38.73588888888889
41,300.227,39.02890000000001,62,zg,11597,200054.43 +390144.5,EA,39.02902777777778
42,300.292,43.11438000000001,61,zg,11658,200110.20 +430652.0,EA/SD,43.114444444444445
43,302.414,30.387179999999976,117,zg,11709,200939.28 +302313.9,EB/DW,30.387194444444443
44,307.769,47.366769999999974,57,zg,11727,203104.49 +472200.4,IS,47.36677777777778
45,316.834,43.12146999999999,147,zg,11744,210720.16 +430717.2,EA/SD,43.12144444444444
46,320.285,44.25121999999999,47,zg,11752,212108.43 +441505.1,EA/SD,44.251416666666664
47,317.535,48.85933,153,zg,11790,211008.40 +485134.1,CST,48.85947222222222
48,337.072,-0.9884399999999971,36,zg,1188,222817.36 -005918.6,RRAB,-0.9884999999999999
49,337.18,-0.854170000000002,33,zg,1189,222843.14 -005114.7,RR,-0.8540833333333333
50,297.777,36.85911999999998,143,zg,11896,195106.59 +365132.6,EA/SD,36.85905555555556
51,297.777,39.01192999999998,59,zg,11552,195106.57 +390041.9,M,39.01163888888889
52,299.638,37.05405999999999,136,zg,11943,195833.13 +370314.6,M,37.05405555555555
53,314.64,44.059870000000004,148,zg,11955,205833.61 +440335.8,INS,44.05994444444444
54,307.757,57.170530000000014,60,zg,11976,203101.67 +571014.1,L,57.17058333333333
55,292.908,29.72083999999997,140,zg,12074,193137.97 +294314.6,DSCT,29.72072222222222
56,293.877,29.762670000000018,133,zg,12097,193530.41 +294545.9,EW/KW,29.76275
57,294.062,33.072529999999986,44,zg,12102,193614.95 +330422.1,M,33.07280555555556
58,294.16,31.652720000000027,59,zg,12103,193638.45 +313909.8,EA,31.65272222222222
59,294.222,32.45447999999998,58,zg,12104,193653.25 +322716.3,SRA,32.454527777777784
60,294.545,31.58274999999999,59,zg,12110,193810.76 +313457.3,SRD,31.582583333333332
61,294.809,29.768900000000002,128,zg,12116,193914.11 +294609.2,EW/KW,29.769222222222222
62,295.849,55.38090000000002,60,zg,12156,194323.82 +552251.1,SRA,55.38086111111111
63,296.265,56.41409000000001,60,zg,12163,194503.50 +562450.8,EW,56.41411111111111
64,296.581,56.574850000000005,60,zg,12167,194619.34 +563429.4,RRAB,56.57483333333334
65,297.171,56.24863,60,zg,12184,194841.00 +561454.9,E,56.248583333333336
66,297.197,7.370819999999975,42,zg,2561,194847.35 +072215.1,RR,7.370861111111111
67,300.047,39.078599999999994,62,zg,12205,200011.23 +390442.4,EA,39.07844444444445
