,ra,dec_x,Nobs,filter,Name,coord,Type,dec_y
0,184.946,16.513950000000026,35,zg,10097,121947.01 +163050.3,EB,16.513972222222222
1,185.859,16.083490000000012,17,zg,10100,122326.20 +160500.5,RRAB,16.08347222222222
2,185.954,24.13216000000001,16,zg,10102,122348.98 +240756.0,UV,24.13222222222222
3,192.839,27.229590000000016,38,zg,10135,125121.37 +271346.7,EW,27.229638888888886
4,192.885,24.122690000000006,19,zg,10136,125132.37 +240721.1,RRAB,24.12252777777778
5,194.342,28.888759999999998,39,zg,10139,125722.05 +285319.4,RRAB,28.88872222222222
6,194.461,28.289490000000022,39,zg,10140,125750.68 +281721.5,RRAB,28.289305555555558
7,195.654,31.307069999999992,37,zg,10157,130237.02 +311824.9,LB,31.306916666666666
8,194.213,28.176430000000007,33,zg,10212,125651.21 +281035.1,RRC,28.176416666666668
9,198.601,27.192280000000018,37,zg,10217,131424.19 +271132.3,EW,27.192305555555556
10,180.815,16.110429999999994,30,zg,10220,120315.63 +160637.9,BY,16.11052777777778
11,202.043,19.63796000000002,35,zg,10240,132810.42 +193816.6,LB,19.637944444444443
12,311.604,-4.083490000000003,39,zg,1047,204625.01 -040500.4,M,-4.083444444444444
13,334.664,-20.901129999999977,24,zg,1048,221839.32 -205404.1,M,-20.901138888888887
14,335.804,-22.056630000000006,24,zg,1052,222312.87 -220323.8,M,-22.056611111111113
15,316.466,-0.21170000000000025,41,zg,1053,210551.73 -001242.1,M,-0.21169444444444446
16,320.765,-7.108230000000027,33,zg,1055,212303.69 -070629.2,M,-7.108111111111111
17,334.977,-14.401930000000002,29,zg,1056,221954.42 -142406.8,M,-14.40188888888889
18,316.894,1.3742700000000017,44,zg,1058,210734.60 +012228.0,SRB,1.3744444444444446
19,313.426,-1.6352100000000014,32,zg,1059,205342.16 -013807.3,M,-1.635361111111111
20,327.02,0.36724000000000023,40,zg,1062,214804.86 +002202.1,M,0.36724999999999997
21,314.753,-7.54148999999999,34,zg,1070,205900.65 -073229.1,M,-7.541416666666667
22,315.227,-1.5199099999999992,39,zg,1071,210054.49 -013111.6,M,-1.5198888888888888
23,315.227,34.18863,54,zg,13605,210054.39 +341118.9,EW,34.18858333333333
24,310.579,-8.258590000000028,30,zg,1079,204218.89 -081529.9,M,-8.258305555555555
25,22.059,50.00418,42,zg,109,012814.24 +500015.0,M,50.00416666666667
26,336.056,-19.795239999999982,27,zg,1101,222413.43 -194742.9,M,-19.795250000000003
27,243.852,37.79560000000001,29,zg,11029,161524.55 +374744.2,M,37.79561111111111
28,237.223,36.247950000000024,32,zg,11030,154853.53 +361452.6,M,36.24794444444444
29,244.226,31.122699999999988,143,zg,11044,161654.33 +310721.4,EA,31.122611111111112
30,243.744,30.27660999999998,133,zg,11065,161458.64 +301635.6,EW,30.276555555555554
31,233.797,38.73298999999997,19,zg,11073,153511.34 +384358.7,BY,38.73297222222222
32,240.623,37.55839999999999,44,zg,11085,160229.60 +373330.3,EW,37.558416666666666
33,241.326,37.439730000000026,43,zg,11088,160518.14 +372623.9,RS,37.43997222222222
34,242.539,35.95849000000001,142,zg,11095,161009.32 +355730.6,EW,35.9585
35,243.617,30.529190000000018,139,zg,11100,161428.02 +303144.9,DSCT,30.529138888888887
36,237.075,32.362690000000015,33,zg,11110,154818.11 +322146.3,EW,32.362861111111116
37,184.908,-19.256109999999982,19,zg,11116,121937.87 -191521.9,M,-19.256083333333333
38,189.279,-17.525570000000023,13,zg,11117,123706.87 -173132.1,M,-17.525583333333334
39,340.047,-23.227919999999983,26,zg,1113,224011.39 -231340.5,EB,-23.227916666666665
40,185.469,-13.886170000000002,19,zg,11138,122152.50 -135310.2,M,-13.886166666666666
41,168.189,-7.298490000000004,16,zg,11158,111245.30 -071754.7,M,-7.298527777777777
42,165.48,-7.661610000000015,18,zg,11161,110155.14 -073941.7,M,-7.661583333333334
43,165.902,-21.629379999999994,14,zg,11168,110336.58 -213745.9,UGSU,-21.629416666666668
44,165.349,-11.545589999999994,18,zg,11169,110123.84 -113244.1,SR,-11.545583333333333
45,169.508,-21.587140000000016,15,zg,11170,111801.87 -213513.8,SR,-21.587166666666665
46,171.67,-19.603910000000024,18,zg,11171,112640.78 -193614.2,SR,-19.603944444444444
47,175.666,-11.563439999999995,16,zg,11175,114239.77 -113348.6,SR,-11.563500000000001
48,165.875,-10.987350000000003,18,zg,11177,110330.10 -105914.4,RRC,-10.987333333333332
49,165.875,36.37985999999998,29,zg,41130,110330.04 +362247.4,EW,36.37983333333333
50,165.875,36.37985999999998,29,zg,41130,110330.04 +362247.4,EW,36.37983333333333
51,165.768,-22.488300000000013,15,zg,11187,110304.38 -222917.9,RRAB,-22.488305555555556
52,171.735,-9.430080000000007,16,zg,11191,112656.39 -092548.5,EA,-9.430138888888889
53,172.593,-15.36477999999998,18,zg,11193,113022.34 -152153.2,EA,-15.364777777777778
54,315.351,-7.433020000000005,34,zg,1121,210124.13 -072559.5,M,-7.433194444444445
