,ra,dec_x,Nobs,filter,Name,coord,Type,dec_y
0,10.68,41.268290000000015,28,zr,1,004243.1  +411605.0,SNI,41.268055555555556
1,197.797,28.58267000000002,34,zr,10024,131111.27 +283457.3,RRAB,28.582583333333332
2,187.542,21.004730000000027,30,zr,10112,123010.04 +210016.7,EB/SD,21.004638888888888
3,192.649,-18.426220000000026,11,zr,11128,125035.79 -182534.5,EW/KE,-18.42625
4,193.177,-18.455479999999998,11,zr,11129,125242.50 -182720.0,RRAB,-18.455555555555556
5,291.664,28.54438999999999,115,zr,11411,192639.35 +283239.9,SR,28.544416666666667
6,299.184,37.62765999999997,24,zr,11579,195644.15 +373739.2,M,37.62755555555555
7,333.017,-9.723829999999989,33,zr,1173,221204.05 -094325.7,EA,-9.723805555555556
8,317.706,44.833110000000005,118,zr,11792,211049.40 +444959.1,M,44.833083333333335
9,322.28,40.669760000000004,42,zr,11821,212907.29 +404011.4,EA,40.66983333333333
10,293.501,30.882179999999977,43,zr,12088,193400.14 +305256.4,SR,30.882333333333335
11,320.811,-5.797949999999987,6,zr,1209,212314.54 -054752.9,XNDR,-5.798027777777778
12,293.77,29.04155999999998,23,zr,12094,193504.72 +290229.0,LB,29.04138888888889
13,293.978,27.984159999999978,37,zr,12100,193554.83 +275903.3,EA/SD,27.98425
14,312.574,-5.607399999999998,3,zr,1237,205017.86 -053626.9,E+XM,-5.6074722222222215
15,315.758,40.41465999999997,99,zr,12384,210301.96 +402452.9,M,40.41469444444444
16,315.758,48.76476,148,zr,13227,210302.00 +484552.9,NA,48.764694444444444
17,295.079,30.464739999999985,79,zr,12431,194019.03 +302753.8,LB,30.464944444444445
18,300.526,37.56855000000002,84,zr,12647,200206.34 +373406.5,M,37.568472222222226
19,322.689,43.53273999999998,54,zr,12697,213045.44 +433158.4,SRA,43.53288888888889
20,303.27,40.87153,140,zr,12764,201304.70 +405217.5,SR,40.87152777777778
21,303.834,39.97966999999998,123,zr,12771,201520.25 +395846.8,M,39.97966666666667
22,304.143,41.58504000000001,147,zr,12772,201634.24 +413506.2,SR,41.585055555555556
23,304.645,42.13676000000001,127,zr,12775,201834.80 +420812.4,M,42.13677777777778
24,305.571,40.72024000000001,140,zr,12778,202217.08 +404313.1,M,40.720305555555555
25,307.273,39.71271999999997,68,zr,12783,202905.51 +394245.8,M,39.712722222222226
26,304.786,41.781050000000015,146,zr,12800,201908.70 +414653.0,SR,41.78138888888889
27,305.761,39.07306000000003,131,zr,12808,202302.55 +390423.1,M,39.07308333333334
28,305.737,41.283740000000016,65,zr,12809,202256.90 +411701.7,SR,41.28380555555555
29,314.294,54.469739999999994,152,zr,12828,205710.52 +542811.1,M,54.469750000000005
30,312.914,33.45681,31,zr,12957,205139.33 +332725.0,E,33.456944444444446
31,299.983,29.57563000000003,143,zr,13187,195955.84 +293430.8,SR,29.575222222222223
32,300.319,31.164910000000003,37,zr,13192,200116.64 +310953.5,SR,31.164861111111108
33,29.752,36.21183999999998,30,zr,132,015900.41 +361242.4,RR,36.21177777777778
34,313.45,53.23308999999999,5,zr,13270,205348.01 +531358.7,M,53.23297222222222
35,299.43,30.611820000000026,121,zr,13355,195743.21 +303642.4,SR,30.611777777777778
36,299.43,36.09558000000001,140,zr,12603,195743.16 +360544.6,M,36.09572222222222
37,299.43,60.015000000000185,53,zr,14161,195743.18 +600053.4,EB/KE,60.014833333333335
38,302.98,31.205639999999985,106,zr,13360,201155.12 +311220.6,M,31.20572222222222
39,312.859,44.08995,149,zr,13424,205126.23 +440523.9,INT,44.08997222222222
40,325.871,53.14537000000001,129,zr,13535,214329.08 +530843.4,EA,53.14538888888889
41,292.473,43.415880000000016,46,zr,13564,192953.59 +432457.1,EW,43.41586111111111
42,315.665,34.32547,37,zr,13632,210239.50 +341931.7,EW,34.325472222222224
